guy762.mm.kotorcore + guy762.KotORDroids equipment classes EXCLUDED from
DROIDWORKS_MODULE_ABSORB_1 (packet B2). Every entry references a framework
class Droidworks does not ship (MVCF/SelfHediffVerb/AthenaFramework/
VanillaApparelExpanded/guy762_Ionization), is a non-apparel VFX byproduct
(Filth), or belongs to a weapon/shield/gadget mount family out of this
item's scope -- see gen_droidworks_modules.py's module docstring for the
full rationale per family. Regenerate by rerunning gen_droidworks_modules.py.

defName	source file	reason
guy762_DroidStealthDevice	kotorcore/Apparel_KotORDroidCloak.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidGadget_laser	kotorcore/Apparel_KotORDroidUtilityWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidGadget_shock	kotorcore/Apparel_KotORDroidUtilityWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidGadget_firefoam	kotorcore/Apparel_KotORDroidUtilityWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidGadget_kolto	kotorcore/Apparel_KotORDroidUtilityWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_holdout	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_trishot	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_pulse	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_sonic	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_plasma	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_railgun	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_seekerrocket	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_microrocket	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_stunbeam	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_flamethrower	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_ion	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidWeapon_toxbeam	kotorcore/Apparel_KotORDroidWeapons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_mininglaser	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_hvyrep	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_blaster	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_pulse	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_massdriver	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_railgun	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_firefoam	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_sonic	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_flamethrower	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_ion	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_disruptor	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_m_highex	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_m_plasma	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_m_ion	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_LgtCannon_m_buster	kotorcore/Apparel_KotORLightCannons.xml	references MVCF. (framework Droidworks does not ship)
guy762_DroidShield_basicI	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_envI	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_melee	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_basicII	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_envII	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_defI	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
guy762_DroidShield_basicIII	kotordroids/Apparel_KotORDroidShields.xml	references SelfHediffVerb. (framework Droidworks does not ship)
